Dis1	Dis2	Dis1_icd9	Dis2_icd9	Dis1_discat	Dis2_discat	Corr_Dis1	Corr_Dis2	Distance	pvalue	adj_pvalue	in_epidem	pairs	icd_pairs	interaction_type	in_phi	in_literature
Smoker	Asthma 5	305	493	mental disorders	diseases of the respiratory system	Smoker	Asthma	0.316191427041969	1.62273688119848e-79	1.34243605793169e-78	TRUE	Asthma _ Smoker	305 _ 493	dm	TRUE	TRUE
Glioblastoma	Schizophrenia 1	191	295	neoplasms	mental disorders	Glioblastoma	Schizophrenia	0.31385906854083	5.52963944083803e-206	1.24523032234448e-204	FALSE	Glioblastoma _ Schizophrenia	191 _ 295	dm	FALSE	FALSE
Lymphocytic colitis	Human immunodeficiency virus infection 2	558	42	diseases of the digestive system	infectious and parasitic diseases	Lymphocytic colitis	Human immunodeficiency virus infection	0.312522377529731	0.000839559986465252	0.00135062033606882	TRUE	Human immunodeficiency virus infection _ Lymphocytic colitis	42 _ 558	dm	TRUE	TRUE
Alagille syndrome	Chronic lymphocytic leukemia 1	759	204	congenital anomalies	neoplasms	Alagille syndrome	Chronic lymphocytic leukemia	0.311976055048983	5.71079219722718e-29	2.30716753969972e-28	TRUE	Alagille syndrome _ Chronic lymphocytic leukemia	204 _ 759	dm	TRUE	TRUE
Papillary thyroid cancer	Asthma 5	193	493	neoplasms	diseases of the respiratory system	Papillary thyroid cancer	Asthma	0.311712330974741	1.84441215698303e-92	1.78052264496214e-91	FALSE	Asthma _ Papillary thyroid cancer	193 _ 493	dm	FALSE	FALSE
Familial dysautonomia	Adenomatous polyps 2	742	211	congenital anomalies	neoplasms	Familial dysautonomia	Adenomatous polyps	0.310556729576332	1.65996174193605e-105	1.84543400154948e-104	TRUE	Adenomatous polyps _ Familial dysautonomia	211 _ 742	dm	TRUE	TRUE
Crohn's disease	Kaposi's sarcoma 1	555	176	diseases of the digestive system	neoplasms	Crohn's disease	Kaposi's sarcoma	0.306271955893628	1.65058198441676e-201	3.64370410108346e-200	FALSE	Crohn's disease _ Kaposi's sarcoma	176 _ 555	dm	TRUE	TRUE
Ulcer	Kaposi's sarcoma 1	569	176	diseases of the digestive system	neoplasms	Ulcer	Kaposi's sarcoma	0.305420354724857	9.19779381112047e-132	1.28748209278843e-130	FALSE	Kaposi's sarcoma _ Ulcer	176 _ 569	dm	TRUE	TRUE
Smoker	Hyperplastic polyps 3	305	211	mental disorders	neoplasms	Smoker	Hyperplastic polyps	0.303117206272518	2.97363027330106e-106	3.34207825789438e-105	TRUE	Hyperplastic polyps _ Smoker	211 _ 305	dm	TRUE	TRUE
Adenomatous polyps	Autism 1	211	299	neoplasms	mental disorders	Adenomatous polyps	Autism	0.300460726332579	1.82141047500026e-18	5.67715947142034e-18	FALSE	Adenomatous polyps _ Autism	211 _ 299	dm	TRUE	TRUE
