Dis1	Dis2	Dis1_icd9	Dis2_icd9	Dis1_discat	Dis2_discat	Corr_Dis1	Corr_Dis2	Distance	pvalue	adj_pvalue	in_epidem	pairs	icd_pairs	interaction_type	in_phi	in_literature
Liver cancer	Hyperplastic polyps 4	155	211	neoplasms	neoplasms	Liver cancer	Hyperplastic polyps	0.0965601726811744	2.24024362117755e-21	7.50280612443314e-21	TRUE	Hyperplastic polyps _ Liver cancer	155 _ 211	dm	TRUE	TRUE
Idiopathic pulmonary fibrosis	Friedreich's ataxia 2	516	334	diseases of the respiratory system	diseases of the nervous system and sense organs	Idiopathic pulmonary fibrosis	Friedreich's ataxia	0.0956760766939605	4.58947232460644e-20	1.49400423082722e-19	FALSE	Friedreich's ataxia _ Idiopathic pulmonary fibrosis	334 _ 516	dm	TRUE	TRUE
Glioblastoma	Post-traumatic stress disorder 1	191	309	neoplasms	mental disorders	Glioblastoma	Post-traumatic stress disorder	0.0948982153679967	7.33050033496042e-19	2.31293809236789e-18	TRUE	Glioblastoma _ Post-traumatic stress disorder	191 _ 309	dm	TRUE	TRUE
Asthma	Schizophrenia 2	493	295	diseases of the respiratory system	mental disorders	Asthma	Schizophrenia	0.0944773510947073	1.75152112978482e-06	3.39286637469562e-06	TRUE	Asthma _ Schizophrenia	295 _ 493	dm	TRUE	TRUE
Lung cancer	Keratoconus 1	162	371	neoplasms	diseases of the nervous system and sense organs	Lung cancer	Keratoconus	0.0934273073906672	9.01599835568239e-16	2.57081175336333e-15	FALSE	Keratoconus _ Lung cancer	162 _ 371	dm	FALSE	FALSE
Familial dysautonomia	Familial pulmonary arterial hypertension 1	742	416	congenital anomalies	diseases of the circulatory system	Familial dysautonomia	Familial pulmonary arterial hypertension	0.093219661755327	0.00234734891302971	0.00364899595036597	TRUE	Familial dysautonomia _ Familial pulmonary arterial hypertension	416 _ 742	dm	TRUE	TRUE
Post-traumatic stress disorder	Coeliac disease 2	309	579	mental disorders	diseases of the digestive system	Post-traumatic stress disorder	Coeliac disease	0.0918459453027904	0.0107250152291938	0.0156677819726292	TRUE	Coeliac disease _ Post-traumatic stress disorder	309 _ 579	dm	TRUE	TRUE
Papillary thyroid cancer	Friedreich's ataxia 2	193	334	neoplasms	diseases of the nervous system and sense organs	Papillary thyroid cancer	Friedreich's ataxia	0.091700353963215	5.82865934757514e-12	1.45250709778334e-11	FALSE	Friedreich's ataxia _ Papillary thyroid cancer	193 _ 334	dm	FALSE	FALSE
Hyperplastic polyps	Lung cancer 1	211	162	neoplasms	neoplasms	Hyperplastic polyps	Lung cancer	0.0915629024897311	1.88314131098468e-19	6.03604857369484e-19	FALSE	Hyperplastic polyps _ Lung cancer	162 _ 211	dm	FALSE	FALSE
Asthma	Human immunodeficiency virus infection 1	493	42	diseases of the respiratory system	infectious and parasitic diseases	Asthma	Human immunodeficiency virus infection	0.0899800839561459	0.000393260916550537	0.000651188058888226	FALSE	Asthma _ Human immunodeficiency virus infection	42 _ 493	dm	TRUE	TRUE
Ulcerative colitis	Adenomatous polyps 1	556	211	diseases of the digestive system	neoplasms	Ulcerative colitis	Adenomatous polyps	0.0898241374770272	1.99375459036513e-15	5.63023132602423e-15	TRUE	Adenomatous polyps _ Ulcerative colitis	211 _ 556	dm	TRUE	TRUE
Sessile serrated polyps	Prostate cancer 2	211	185	neoplasms	neoplasms	Sessile serrated polyps	Prostate cancer	0.0896150621021698	2.47456414607582e-06	4.75755909963508e-06	FALSE	Prostate cancer _ Sessile serrated polyps	185 _ 211	dm	FALSE	TRUE
Familial dysautonomia	Ulcerative colitis 1	742	556	congenital anomalies	diseases of the digestive system	Familial dysautonomia	Ulcerative colitis	0.0895886227252714	1.5571972103683e-14	4.26446314746926e-14	FALSE	Familial dysautonomia _ Ulcerative colitis	556 _ 742	dm	FALSE	FALSE
Crohn's disease	Down syndrome 1	555	758	diseases of the digestive system	congenital anomalies	Crohn's disease	Down syndrome	0.0895243008744945	7.87492177412432e-17	2.32454556466962e-16	FALSE	Crohn's disease _ Down syndrome	555 _ 758	dm	FALSE	FALSE
Eosinophilic esophagitis	Down syndrome 2	530	758	diseases of the digestive system	congenital anomalies	Eosinophilic esophagitis	Down syndrome	0.0892474272508774	1.85592872130697e-10	4.35619854974453e-10	FALSE	Down syndrome _ Eosinophilic esophagitis	530 _ 758	dm	TRUE	TRUE
Breast cancer	Down syndrome 2	174	758	neoplasms	congenital anomalies	Breast cancer	Down syndrome	0.0892233374620507	1.55295235972242e-16	4.53407612397743e-16	FALSE	Breast cancer _ Down syndrome	174 _ 758	dm	FALSE	FALSE
Cardiomyopathy	Eosinophilic esophagitis 2	425	530	diseases of the circulatory system	diseases of the digestive system	Cardiomyopathy	Eosinophilic esophagitis	0.0889171303223048	2.61819864067431e-12	6.6033928861233e-12	TRUE	Cardiomyopathy _ Eosinophilic esophagitis	425 _ 530	dm	TRUE	TRUE
Eosinophilic esophagitis	Alagille syndrome 1	530	759	diseases of the digestive system	congenital anomalies	Eosinophilic esophagitis	Alagille syndrome	0.0881360927591202	3.66444411876516e-10	8.49908165222167e-10	TRUE	Alagille syndrome _ Eosinophilic esophagitis	530 _ 759	dm	TRUE	TRUE
Liver cancer	Friedreich's ataxia 2	155	334	neoplasms	diseases of the nervous system and sense organs	Liver cancer	Friedreich's ataxia	0.0879798076684936	5.60914980830463e-17	1.66130096991335e-16	FALSE	Friedreich's ataxia _ Liver cancer	155 _ 334	dm	TRUE	TRUE
Kaposi's sarcoma	Human immunodeficiency virus infection 2	176	42	neoplasms	infectious and parasitic diseases	Kaposi's sarcoma	Human immunodeficiency virus infection	0.0879515124224166	0.000309638501683683	0.00051681938533057	TRUE	Human immunodeficiency virus infection _ Kaposi's sarcoma	42 _ 176	dm	TRUE	TRUE
Ulcer	Myotonic dystrophy 2	569	359	diseases of the digestive system	diseases of the nervous system and sense organs	Ulcer	Myotonic dystrophy	0.0877452779103774	1.15649932299774e-09	2.62594629690067e-09	TRUE	Myotonic dystrophy _ Ulcer	359 _ 569	dm	TRUE	TRUE
Familial pulmonary arterial hypertension	Chronic obstructive pulmonary disease 1	416	496	diseases of the circulatory system	diseases of the respiratory system	Familial pulmonary arterial hypertension	Chronic obstructive pulmonary disease	0.0874699480255107	9.29766692384391e-14	2.47897534995475e-13	TRUE	Chronic obstructive pulmonary disease _ Familial pulmonary arterial hypertension	416 _ 496	dm	TRUE	TRUE
Ischemia	Chronic obstructive pulmonary disease 1	414	496	diseases of the circulatory system	diseases of the respiratory system	Ischemia	Chronic obstructive pulmonary disease	0.087333568284415	1.0038286544235e-13	2.67239277397638e-13	TRUE	Chronic obstructive pulmonary disease _ Ischemia	414 _ 496	dm	TRUE	TRUE
Eosinophilic esophagitis	Ulcer 2	530	569	diseases of the digestive system	diseases of the digestive system	Eosinophilic esophagitis	Ulcer	0.087133651717423	6.19341182423192e-19	1.96018619863538e-18	TRUE	Eosinophilic esophagitis _ Ulcer	530 _ 569	dm	TRUE	TRUE
Huntington's disease	Eosinophilic esophagitis 2	333	530	diseases of the nervous system and sense organs	diseases of the digestive system	Huntington's disease	Eosinophilic esophagitis	0.0866362837913886	1.49158289797245e-14	4.08750125411003e-14	TRUE	Eosinophilic esophagitis _ Huntington's disease	333 _ 530	dm	TRUE	TRUE
Coeliac disease	Ulcerative colitis 1	579	556	diseases of the digestive system	diseases of the digestive system	Coeliac disease	Ulcerative colitis	0.086370295237986	1.81881421944246e-12	4.61560641843681e-12	TRUE	Coeliac disease _ Ulcerative colitis	556 _ 579	dm	TRUE	TRUE
Post-traumatic stress disorder	Familial dysautonomia 2	309	742	mental disorders	congenital anomalies	Post-traumatic stress disorder	Familial dysautonomia	0.0857400811618443	6.25958210004248e-05	0.00010999362668805	TRUE	Familial dysautonomia _ Post-traumatic stress disorder	309 _ 742	dm	TRUE	TRUE
Idiopathic pulmonary fibrosis	Breast cancer 2	516	174	diseases of the respiratory system	neoplasms	Idiopathic pulmonary fibrosis	Breast cancer	0.0857161178132382	4.21138238974512e-21	1.40356624125759e-20	FALSE	Breast cancer _ Idiopathic pulmonary fibrosis	174 _ 516	dm	FALSE	FALSE
Kaposi's sarcoma	Bipolar disorder 4	176	296	neoplasms	mental disorders	Kaposi's sarcoma	Bipolar disorder	0.0855878253047966	0.000676020605339673	0.00109814345464514	FALSE	Bipolar disorder _ Kaposi's sarcoma	176 _ 296	dm	TRUE	TRUE
Huntington's disease	Kaposi's sarcoma 1	333	176	diseases of the nervous system and sense organs	neoplasms	Huntington's disease	Kaposi's sarcoma	0.0855463233241909	4.05111400289551e-09	8.97511192224225e-09	FALSE	Huntington's disease _ Kaposi's sarcoma	176 _ 333	dm	TRUE	TRUE
Systemic lupus erythematosus	Breast cancer 2	710	174	diseases of the musculoskeletal system and connective tissue	neoplasms	Systemic lupus erythematosus	Breast cancer	0.0853359279906309	3.21706300514373e-17	9.59742845661429e-17	FALSE	Breast cancer _ Systemic lupus erythematosus	174 _ 710	dm	FALSE	FALSE
Glioblastoma	Lymphocytic colitis 2	191	558	neoplasms	diseases of the digestive system	Glioblastoma	Lymphocytic colitis	0.0847429839234369	2.40744371200456e-15	6.78446388571771e-15	FALSE	Glioblastoma _ Lymphocytic colitis	191 _ 558	dm	FALSE	FALSE
Borrelia burgdorferi infection	Chronic obstructive pulmonary disease 2	88	496	infectious and parasitic diseases	diseases of the respiratory system	Borrelia burgdorferi infection	Chronic obstructive pulmonary disease	0.0842807760690391	3.29881192083547e-19	1.05053684697134e-18	FALSE	Borrelia burgdorferi infection _ Chronic obstructive pulmonary disease	88 _ 496	dm	FALSE	FALSE
Ulcer	Human immunodeficiency virus infection 1	569	42	diseases of the digestive system	infectious and parasitic diseases	Ulcer	Human immunodeficiency virus infection	0.0826685797112919	4.2692531244242e-09	9.44819618876344e-09	FALSE	Human immunodeficiency virus infection _ Ulcer	42 _ 569	dm	TRUE	TRUE
Borrelia burgdorferi infection	Ischemia 1	88	414	infectious and parasitic diseases	diseases of the circulatory system	Borrelia burgdorferi infection	Ischemia	0.0826284041398514	1.45941455816373e-08	3.15165998027014e-08	FALSE	Borrelia burgdorferi infection _ Ischemia	88 _ 414	dm	FALSE	TRUE
Glioblastoma	Coeliac disease 2	191	579	neoplasms	diseases of the digestive system	Glioblastoma	Coeliac disease	0.0824480530511202	4.33511168488193e-15	1.209784905627e-14	FALSE	Coeliac disease _ Glioblastoma	191 _ 579	dm	FALSE	FALSE
Systemic lupus erythematosus	Schizophrenia 2	710	295	diseases of the musculoskeletal system and connective tissue	mental disorders	Systemic lupus erythematosus	Schizophrenia	0.0823538793581671	0.00185546287524006	0.00290709637461296	FALSE	Schizophrenia _ Systemic lupus erythematosus	295 _ 710	dm	FALSE	TRUE
Glioblastoma	Liver cancer 1	191	155	neoplasms	neoplasms	Glioblastoma	Liver cancer	0.0822055724059421	6.56670884168266e-19	2.07619916611517e-18	TRUE	Glioblastoma _ Liver cancer	155 _ 191	dm	TRUE	TRUE
Eosinophilic esophagitis	Familial dysautonomia 2	530	742	diseases of the digestive system	congenital anomalies	Eosinophilic esophagitis	Familial dysautonomia	0.0820341878953828	2.68597561719921e-11	6.51809449421982e-11	TRUE	Eosinophilic esophagitis _ Familial dysautonomia	530 _ 742	dm	TRUE	TRUE
Familial dysautonomia	Liver cancer 3	742	155	congenital anomalies	neoplasms	Familial dysautonomia	Liver cancer	0.0819560110166585	6.2642398073037e-13	1.61902866022591e-12	FALSE	Familial dysautonomia _ Liver cancer	155 _ 742	dm	FALSE	FALSE
Sessile serrated polyps	Facioscapulohumeral muscular dystrophy 1	211	359	neoplasms	diseases of the nervous system and sense organs	Sessile serrated polyps	Facioscapulohumeral muscular dystrophy	0.0818606972669001	1.74737030993269e-05	3.17933640734872e-05	TRUE	Facioscapulohumeral muscular dystrophy _ Sessile serrated polyps	211 _ 359	dm	TRUE	TRUE
Idiopathic pulmonary fibrosis	Keratoconus 1	516	371	diseases of the respiratory system	diseases of the nervous system and sense organs	Idiopathic pulmonary fibrosis	Keratoconus	0.0815380909210247	4.29185185039847e-11	1.03255920103922e-10	FALSE	Idiopathic pulmonary fibrosis _ Keratoconus	371 _ 516	dm	FALSE	FALSE
Hyperplastic polyps	Colorectal cancer 5	211	153	neoplasms	neoplasms	Hyperplastic polyps	Colorectal cancer	0.0815264794002962	1.25908681053036e-08	2.7295725681297e-08	TRUE	Colorectal cancer _ Hyperplastic polyps	153 _ 211	dm	TRUE	TRUE
Ulcer	Schizophrenia 1	569	295	diseases of the digestive system	mental disorders	Ulcer	Schizophrenia	0.0814590206380794	1.30420102692376e-09	2.95369521045171e-09	TRUE	Schizophrenia _ Ulcer	295 _ 569	dm	TRUE	TRUE
Ulcerative colitis	Borrelia burgdorferi infection 2	556	88	diseases of the digestive system	infectious and parasitic diseases	Ulcerative colitis	Borrelia burgdorferi infection	0.0809731605871544	1.52742821022935e-16	4.46272786850215e-16	FALSE	Borrelia burgdorferi infection _ Ulcerative colitis	88 _ 556	dm	TRUE	TRUE
Amyotrophic lateral sclerosis	Colorectal cancer 4	335	153	diseases of the nervous system and sense organs	neoplasms	Amyotrophic lateral sclerosis	Colorectal cancer	0.0806187821324447	0.00873620202048811	0.0128707734108806	FALSE	Amyotrophic lateral sclerosis _ Colorectal cancer	153 _ 335	dm	FALSE	FALSE
Colorectal cancer	Chronic lymphocytic leukemia 1	153	204	neoplasms	neoplasms	Colorectal cancer	Chronic lymphocytic leukemia	0.0805480635575182	0.000339421966132285	0.000564466015771229	FALSE	Chronic lymphocytic leukemia _ Colorectal cancer	153 _ 204	dm	FALSE	TRUE
Down syndrome	Friedreich's ataxia 1	758	334	congenital anomalies	diseases of the nervous system and sense organs	Down syndrome	Friedreich's ataxia	0.0805306325188034	1.00803240227383e-05	1.8641259767616e-05	FALSE	Down syndrome _ Friedreich's ataxia	334 _ 758	dm	TRUE	TRUE
Chronic lymphocytic leukemia	Human immunodeficiency virus infection 1	204	42	neoplasms	infectious and parasitic diseases	Chronic lymphocytic leukemia	Human immunodeficiency virus infection	0.0804977680909276	0.00330662787300984	0.00507245381145956	FALSE	Chronic lymphocytic leukemia _ Human immunodeficiency virus infection	42 _ 204	dm	TRUE	TRUE
Eosinophilic esophagitis	Breast cancer 3	530	174	diseases of the digestive system	neoplasms	Eosinophilic esophagitis	Breast cancer	0.0781389198653255	2.27683556215059e-16	6.61775848385345e-16	FALSE	Breast cancer _ Eosinophilic esophagitis	174 _ 530	dm	FALSE	FALSE
Autism	Breast cancer 2	299	174	mental disorders	neoplasms	Autism	Breast cancer	0.0779109873225259	1.32058987304212e-14	3.62294566951734e-14	FALSE	Autism _ Breast cancer	174 _ 299	dm	FALSE	TRUE
Multiple sclerosis	Kaposi's sarcoma 1	340	176	diseases of the nervous system and sense organs	neoplasms	Multiple sclerosis	Kaposi's sarcoma	0.0775739716576349	0.000127641586095887	0.000219378967145128	FALSE	Kaposi's sarcoma _ Multiple sclerosis	176 _ 340	dm	TRUE	TRUE
Coeliac disease	Schizophrenia 2	579	295	diseases of the digestive system	mental disorders	Coeliac disease	Schizophrenia	0.0775119392353979	0.00341315192745861	0.00522990489394641	FALSE	Coeliac disease _ Schizophrenia	295 _ 579	dm	TRUE	TRUE
Human immunodeficiency virus infection	Ulcerative colitis 2	42	556	infectious and parasitic diseases	diseases of the digestive system	Human immunodeficiency virus infection	Ulcerative colitis	0.0772930113663347	1.42626376274483e-13	3.77659437435315e-13	TRUE	Human immunodeficiency virus infection _ Ulcerative colitis	42 _ 556	dm	TRUE	TRUE
Familial pulmonary arterial hypertension	Friedreich's ataxia 1	416	334	diseases of the circulatory system	diseases of the nervous system and sense organs	Familial pulmonary arterial hypertension	Friedreich's ataxia	0.0755994225992977	3.68730223831828e-05	6.56835704578519e-05	FALSE	Familial pulmonary arterial hypertension _ Friedreich's ataxia	334 _ 416	dm	FALSE	TRUE
Prostate cancer	Asthma 1	185	493	neoplasms	diseases of the respiratory system	Prostate cancer	Asthma	0.0747017860738791	0.00314505988280069	0.00483414619869465	FALSE	Asthma _ Prostate cancer	185 _ 493	dm	FALSE	TRUE
Alagille syndrome	Cardiomyopathy 2	759	425	congenital anomalies	diseases of the circulatory system	Alagille syndrome	Cardiomyopathy	0.074625853883313	0.00110916908544835	0.00176703890255469	FALSE	Alagille syndrome _ Cardiomyopathy	425 _ 759	dm	TRUE	TRUE
Colorectal cancer	Breast cancer 2	153	174	neoplasms	neoplasms	Colorectal cancer	Breast cancer	0.0744790811265503	8.3905345487019e-14	2.23905122553964e-13	FALSE	Breast cancer _ Colorectal cancer	153 _ 174	dm	FALSE	TRUE
Muscular dystrophy	Colorectal cancer 2	359	153	diseases of the nervous system and sense organs	neoplasms	Muscular dystrophy	Colorectal cancer	0.07422586549635	0.0235948163035727	0.0331063842382286	FALSE	Colorectal cancer _ Muscular dystrophy	153 _ 359	dm	FALSE	TRUE
Ulcer	Facioscapulohumeral muscular dystrophy 4	569	359	diseases of the digestive system	diseases of the nervous system and sense organs	Ulcer	Facioscapulohumeral muscular dystrophy	0.0740364955568806	2.86833224456437e-07	5.78930306218972e-07	TRUE	Facioscapulohumeral muscular dystrophy _ Ulcer	359 _ 569	dm	TRUE	TRUE
Smoker	Cardiomyopathy 2	305	425	mental disorders	diseases of the circulatory system	Smoker	Cardiomyopathy	0.0738477655450893	0.000247214282619656	0.000415895320036727	TRUE	Cardiomyopathy _ Smoker	305 _ 425	dm	TRUE	TRUE
Crohn's disease	Systemic lupus erythematosus 2	555	710	diseases of the digestive system	diseases of the musculoskeletal system and connective tissue	Crohn's disease	Systemic lupus erythematosus	0.0736009106526154	8.06878442532881e-12	1.99821645659832e-11	TRUE	Crohn's disease _ Systemic lupus erythematosus	555 _ 710	dm	TRUE	TRUE
Familial pulmonary arterial hypertension	Parkinson's disease 3	416	332	diseases of the circulatory system	diseases of the nervous system and sense organs	Familial pulmonary arterial hypertension	Parkinson's disease	0.072991370628974	1.05929793566305e-06	2.07711429027339e-06	FALSE	Familial pulmonary arterial hypertension _ Parkinson's disease	332 _ 416	dm	FALSE	FALSE
Eosinophilic esophagitis	Schizophrenia 1	530	295	diseases of the digestive system	mental disorders	Eosinophilic esophagitis	Schizophrenia	0.07216749713887	4.17961740676006e-08	8.82339798054334e-08	TRUE	Eosinophilic esophagitis _ Schizophrenia	295 _ 530	dm	TRUE	TRUE
Papillary thyroid cancer	Eosinophilic esophagitis 1	193	530	neoplasms	diseases of the digestive system	Papillary thyroid cancer	Eosinophilic esophagitis	0.0718888308102381	5.88164222530811e-09	1.29282778250081e-08	FALSE	Eosinophilic esophagitis _ Papillary thyroid cancer	193 _ 530	dm	TRUE	TRUE
Chronic lymphocytic leukemia	Lung cancer 1	204	162	neoplasms	neoplasms	Chronic lymphocytic leukemia	Lung cancer	0.0715970095162902	9.79330099788022e-11	2.32614503840896e-10	TRUE	Chronic lymphocytic leukemia _ Lung cancer	162 _ 204	dm	TRUE	TRUE
Systemic lupus erythematosus	Chronic obstructive pulmonary disease 1	710	496	diseases of the musculoskeletal system and connective tissue	diseases of the respiratory system	Systemic lupus erythematosus	Chronic obstructive pulmonary disease	0.0714405107353362	1.1923810149433e-09	2.70592287068378e-09	TRUE	Chronic obstructive pulmonary disease _ Systemic lupus erythematosus	496 _ 710	dm	TRUE	TRUE
Post-traumatic stress disorder	Borrelia burgdorferi infection 1	309	88	mental disorders	infectious and parasitic diseases	Post-traumatic stress disorder	Borrelia burgdorferi infection	0.0713793493794913	3.65602157473028e-08	7.74061082116323e-08	FALSE	Borrelia burgdorferi infection _ Post-traumatic stress disorder	88 _ 309	dm	TRUE	TRUE
Papillary thyroid cancer	Crohn's disease 2	193	555	neoplasms	diseases of the digestive system	Papillary thyroid cancer	Crohn's disease	0.071221065393515	3.1992240559767e-12	8.04574151113128e-12	FALSE	Crohn's disease _ Papillary thyroid cancer	193 _ 555	dm	FALSE	TRUE
Chronic lymphocytic leukemia	Muscular dystrophy 4	204	359	neoplasms	diseases of the nervous system and sense organs	Chronic lymphocytic leukemia	Muscular dystrophy	0.0711854617860297	0.022263914876036	0.0313425032506299	TRUE	Chronic lymphocytic leukemia _ Muscular dystrophy	204 _ 359	dm	TRUE	TRUE
Papillary thyroid cancer	Colorectal cancer 5	193	153	neoplasms	neoplasms	Papillary thyroid cancer	Colorectal cancer	0.0710837964005342	0.000568445117414514	0.000929400976415182	FALSE	Colorectal cancer _ Papillary thyroid cancer	153 _ 193	dm	FALSE	TRUE
Muscular dystrophy	Cardiomyopathy 2	359	425	diseases of the nervous system and sense organs	diseases of the circulatory system	Muscular dystrophy	Cardiomyopathy	0.0698236231695854	0.00228790940533038	0.00356019050718287	TRUE	Cardiomyopathy _ Muscular dystrophy	359 _ 425	dm	TRUE	TRUE
Coeliac disease	Lung cancer 1	579	162	diseases of the digestive system	neoplasms	Coeliac disease	Lung cancer	0.0697313087848745	8.91317918978829e-10	2.03507954142377e-09	FALSE	Coeliac disease _ Lung cancer	162 _ 579	dm	FALSE	FALSE
Kaposi's sarcoma	Schizophrenia	176	295	neoplasms	mental disorders	Kaposi's sarcoma	Schizophrenia	0.0696542575109147	0.00249281854322524	0.00386440206587573	FALSE	Kaposi's sarcoma _ Schizophrenia	176 _ 295	dd	TRUE	TRUE
Hyperplastic polyps	Alagille syndrome 2	211	759	neoplasms	congenital anomalies	Hyperplastic polyps	Alagille syndrome	0.0695954087459099	5.06593230365964e-06	9.54453259658603e-06	TRUE	Alagille syndrome _ Hyperplastic polyps	211 _ 759	dm	TRUE	TRUE
Hyperplastic polyps	Breast cancer 1	211	174	neoplasms	neoplasms	Hyperplastic polyps	Breast cancer	0.0694632162190254	1.67459684033397e-13	4.41990226681675e-13	FALSE	Breast cancer _ Hyperplastic polyps	174 _ 211	dm	FALSE	TRUE
Papillary thyroid cancer	Familial pulmonary arterial hypertension 2	193	416	neoplasms	diseases of the circulatory system	Papillary thyroid cancer	Familial pulmonary arterial hypertension	0.0692438742245502	0.00705137539967236	0.0104775442910934	FALSE	Familial pulmonary arterial hypertension _ Papillary thyroid cancer	193 _ 416	dm	FALSE	FALSE
Smoker	Liver cancer 2	305	155	mental disorders	neoplasms	Smoker	Liver cancer	0.0682814935012813	9.69173363190438e-09	2.10998188189816e-08	TRUE	Liver cancer _ Smoker	155 _ 305	dm	TRUE	TRUE
Papillary thyroid cancer	Autism 2	193	299	neoplasms	mental disorders	Papillary thyroid cancer	Autism	0.0678826996924974	0.00782298067124747	0.011579365045473	FALSE	Autism _ Papillary thyroid cancer	193 _ 299	dm	FALSE	TRUE
Liver cancer	Post-traumatic stress disorder 2	155	309	neoplasms	mental disorders	Liver cancer	Post-traumatic stress disorder	0.0675681791343394	2.1934904050514e-08	4.70066367596087e-08	FALSE	Liver cancer _ Post-traumatic stress disorder	155 _ 309	dm	TRUE	TRUE
Kaposi's sarcoma	Friedreich's ataxia 2	176	334	neoplasms	diseases of the nervous system and sense organs	Kaposi's sarcoma	Friedreich's ataxia	0.0671743184713393	3.87832410324544e-07	7.77685109942656e-07	FALSE	Friedreich's ataxia _ Kaposi's sarcoma	176 _ 334	dm	TRUE	TRUE
Prostate cancer	Glioblastoma 1	185	191	neoplasms	neoplasms	Prostate cancer	Glioblastoma	0.0665614935339897	1.32879935170811e-10	3.13506041262986e-10	FALSE	Glioblastoma _ Prostate cancer	185 _ 191	dm	FALSE	FALSE
Hyperplastic polyps	Post-traumatic stress disorder 1	211	309	neoplasms	mental disorders	Hyperplastic polyps	Post-traumatic stress disorder	0.0661408897676314	1.46377384023367e-05	2.67479100489517e-05	TRUE	Hyperplastic polyps _ Post-traumatic stress disorder	211 _ 309	dm	TRUE	TRUE
Autism	Rheumatoid arthritis 2	299	714	mental disorders	diseases of the musculoskeletal system and connective tissue	Autism	Rheumatoid arthritis	0.0655413780343214	0.000124386151996165	0.000213992824062676	FALSE	Autism _ Rheumatoid arthritis	299 _ 714	dm	FALSE	FALSE
Asthma	Adenomatous polyps 2	493	211	diseases of the respiratory system	neoplasms	Asthma	Adenomatous polyps	0.0650641647591673	5.92030352463806e-06	1.11134256044638e-05	TRUE	Adenomatous polyps _ Asthma	211 _ 493	dm	TRUE	TRUE
Borrelia burgdorferi infection	Kaposi's sarcoma 1	88	176	infectious and parasitic diseases	neoplasms	Borrelia burgdorferi infection	Kaposi's sarcoma	0.0649423030671513	3.69639670364007e-07	7.41567012955022e-07	FALSE	Borrelia burgdorferi infection _ Kaposi's sarcoma	88 _ 176	dm	FALSE	FALSE
Huntington's disease	Post-traumatic stress disorder 1	333	309	diseases of the nervous system and sense organs	mental disorders	Huntington's disease	Post-traumatic stress disorder	0.0648122665963941	0.000452425082462203	0.000745747646964996	TRUE	Huntington's disease _ Post-traumatic stress disorder	309 _ 333	dm	TRUE	TRUE
Eosinophilic esophagitis	Lung cancer 2	530	162	diseases of the digestive system	neoplasms	Eosinophilic esophagitis	Lung cancer	0.0647120694398495	1.54426749641493e-10	3.63506344751368e-10	TRUE	Eosinophilic esophagitis _ Lung cancer	162 _ 530	dm	TRUE	TRUE
Multiple sclerosis	Familial dysautonomia 1	340	742	diseases of the nervous system and sense organs	congenital anomalies	Multiple sclerosis	Familial dysautonomia	0.064673981018124	0.000137345844381232	0.000235466412353998	FALSE	Familial dysautonomia _ Multiple sclerosis	340 _ 742	dm	FALSE	FALSE
Chronic lymphocytic leukemia	Papillary thyroid cancer 2	204	193	neoplasms	neoplasms	Chronic lymphocytic leukemia	Papillary thyroid cancer	0.0632991796456009	0.00126260164798507	0.0020013804014773	FALSE	Chronic lymphocytic leukemia _ Papillary thyroid cancer	193 _ 204	dm	FALSE	TRUE
Adenomatous polyps	Papillary thyroid cancer 3	211	193	neoplasms	neoplasms	Adenomatous polyps	Papillary thyroid cancer	0.0632921938117847	0.00068331983445718	0.0011089767748147	FALSE	Adenomatous polyps _ Papillary thyroid cancer	193 _ 211	dm	FALSE	FALSE
Chronic obstructive pulmonary disease	Muscular dystrophy 1	496	359	diseases of the respiratory system	diseases of the nervous system and sense organs	Chronic obstructive pulmonary disease	Muscular dystrophy	0.0629517987198667	2.05823595934501e-08	4.41619065445252e-08	TRUE	Chronic obstructive pulmonary disease _ Muscular dystrophy	359 _ 496	dm	TRUE	TRUE
Parkinson's disease	Colorectal cancer 5	332	153	diseases of the nervous system and sense organs	neoplasms	Parkinson's disease	Colorectal cancer	0.0629380121259674	6.80188961602956e-06	1.27179229341609e-05	FALSE	Colorectal cancer _ Parkinson's disease	153 _ 332	dm	FALSE	FALSE
Autism	Hyperplastic polyps 1	299	211	mental disorders	neoplasms	Autism	Hyperplastic polyps	0.0622110600260593	4.68508643144356e-05	8.27514979388037e-05	FALSE	Autism _ Hyperplastic polyps	211 _ 299	dm	TRUE	TRUE
Systemic lupus erythematosus	Asthma 5	710	493	diseases of the musculoskeletal system and connective tissue	diseases of the respiratory system	Systemic lupus erythematosus	Asthma	0.0619858443685245	0.00084709373657316	0.00136238420774359	TRUE	Asthma _ Systemic lupus erythematosus	493 _ 710	dm	TRUE	TRUE
Borrelia burgdorferi infection	Crohn's disease 1	88	555	infectious and parasitic diseases	diseases of the digestive system	Borrelia burgdorferi infection	Crohn's disease	0.0616532969612559	2.34989180627963e-11	5.7126440240285e-11	TRUE	Borrelia burgdorferi infection _ Crohn's disease	88 _ 555	dm	TRUE	TRUE
Chronic lymphocytic leukemia	Liver cancer 2	204	155	neoplasms	neoplasms	Chronic lymphocytic leukemia	Liver cancer	0.061053996659559	1.88790259879814e-07	3.85019606158865e-07	FALSE	Chronic lymphocytic leukemia _ Liver cancer	155 _ 204	dm	FALSE	FALSE
