Dis1	Dis2	Dis1_icd9	Dis2_icd9	Dis1_discat	Dis2_discat	Dis1_catcolor	Dis2_catcolor	Corr_Dis1	Corr_Dis2	Distance	pvalue	adj_pvalue	in_epidem	in_epidem_dd_dm	is_metric	is_ultrametric	id	icd_pairs	in_phi	in_epidem_total
Ulcer 	Adenomatous polyps 2	569	211	diseases of the digestive system	neoplasms	#FBAF5F	#FFB6AD	Ulcer	Adenomatous polyps	-0.0321552348515229	0.00524085459201266	0.00788432423844796	FALSE	FALSE	TRUE	FALSE	74	211 _ 569	FALSE	FALSE
Eosinophilic esophagitis 	Adenomatous polyps 2	530	211	diseases of the digestive system	neoplasms	#FBAF5F	#FFB6AD	Eosinophilic esophagitis	Adenomatous polyps	-0.0349235617378536	0.00243474072306129	0.00377864888832921	FALSE	FALSE	TRUE	FALSE	75	211 _ 530	FALSE	FALSE
Bipolar disorder 2	Adenomatous polyps 1	296	211	mental disorders	neoplasms	#805462	#FFB6AD	Bipolar disorder	Adenomatous polyps	0.199416680382851	4.3720154231342e-14	1.17843514184173e-13	TRUE	FALSE	FALSE	FALSE	76	211 _ 296	TRUE	TRUE
Huntington's disease 	Adenomatous polyps 1	333	211	diseases of the nervous system and sense organs	neoplasms	#985396	#FFB6AD	Huntington's disease	Adenomatous polyps	0.0992615312104391	2.81354280469712e-10	6.55765757204524e-10	TRUE	TRUE	FALSE	FALSE	77	211 _ 333	TRUE	TRUE
Kaposi's sarcoma 	Adenomatous polyps 	176	211	neoplasms	neoplasms	#FFB6AD	#FFB6AD	Kaposi's sarcoma	Adenomatous polyps	0.0609827910661187	0.00347855871937925	0.00532681331493207	TRUE	TRUE	FALSE	FALSE	78	176 _ 211	TRUE	TRUE
Human immunodeficiency virus infection 1	Adenomatous polyps 2	42	211	infectious and parasitic diseases	neoplasms	#A1CE5E	#FFB6AD	Human immunodeficiency virus infection	Adenomatous polyps	-0.144577492671786	2.34162004217507e-20	7.66110907822379e-20	FALSE	FALSE	TRUE	FALSE	79	42 _ 211	FALSE	FALSE
Coeliac disease 2	Adenomatous polyps 2	579	211	diseases of the digestive system	neoplasms	#FBAF5F	#FFB6AD	Coeliac disease	Adenomatous polyps	0.282839777258321	1.28145822928034e-81	1.09163225921682e-80	TRUE	FALSE	TRUE	FALSE	80	211 _ 579	TRUE	TRUE
Parkinson's disease 	Adenomatous polyps 2	332	211	diseases of the nervous system and sense organs	neoplasms	#985396	#FFB6AD	Parkinson's disease	Adenomatous polyps	0.174192522878893	5.98893516657998e-50	3.41061966629368e-49	FALSE	FALSE	FALSE	FALSE	81	211 _ 332	FALSE	FALSE
Adenomatous polyps 	Adenomatous polyps 1	211	211	neoplasms	neoplasms	#FFB6AD	#FFB6AD	Adenomatous polyps	Adenomatous polyps	0.985317096991466	0	0	FALSE	FALSE	TRUE	TRUE	82	211 _ 211	FALSE	FALSE
Chronic lymphocytic leukemia 	Adenomatous polyps 	204	211	neoplasms	neoplasms	#FFB6AD	#FFB6AD	Chronic lymphocytic leukemia	Adenomatous polyps	-0.0812218211397457	0.000607859404117669	0.000991474065137903	FALSE	FALSE	TRUE	FALSE	83	204 _ 211	FALSE	FALSE
